customer_id,Name,Geography,Gender,Age
CS1385,Davidson I,France,Male,40
CS1386,O'Donnell M,Spain,Male,29
CS1387,Nnachetam N,France,Female,32
CS1388,Chidiebele R,Spain,Female,26
CS1389,Ahmed P,Spain,Male,34
CS1390,Booth P,Germany,Male,42
CS1391,Chuang B,Spain,Female,41
CS1392,Shao H,France,Male,27
CS1393,Tsao H,Spain,Female,34
CS1394,Tien B,France,Male,38
CS1395,Chang V,France,Male,25
CS1396,Johnson C,France,Female,31
CS1397,French F,Spain,Female,44
CS1398,Efremov P,France,Male,58
CS1399,Hartley H,France,Male,33
CS1400,Calabrese S,France,Female,31
CS1401,Chiu R,Spain,Female,36
CS1402,Brennan A,France,Male,35
CS1403,Onwuatuegwu Z,France,Female,33
CS1404,Hewitt C,France,Male,33
CS1405,Shih S,France,Male,31
CS1406,Balashov C,France,Male,43
CS1407,Doyle B,Germany,Male,35
CS1408,Pokrovskii W,France,Male,50
CS1409,Russo D,Germany,Male,31
CS1410,Skinner U,France,Female,80
CS1411,Robertson H,Germany,Male,30
CS1412,Atkinson R,France,Male,38
CS1413,Doyle O,Germany,Female,59
CS1414,Ritchie A,Spain,Male,36
CS1415,McEncroe A,Spain,Male,37
CS1416,Pearson O,France,Male,49
CS1417,Gordon O,Spain,Male,42
CS1418,Ts'ai N,Spain,Female,22
CS1419,Lung S,France,Male,24
CS1420,Yuan G,Spain,Female,57
CS1421,Pardey A,France,Female,30
CS1422,Tai O,France,Male,
CS1423,Hunter T,France,Female,31
CS1424,Mazzanti W,France,Male,30
CS1425,L? C,France,Male,35
CS1426,Beach G,France,Male,35
CS1427,Hsieh O,France,Female,46
CS1428,Faulkner O,Germany,Male,35
CS1429,Knowles S,Germany,Male,26
CS1430,Day O,France,Male,50
CS1431,Hsueh P,Spain,Female,40
CS1432,Tsao Z,Germany,Male,44
CS1433,Kennedy Y,Germany,Female,30
CS1434,Nwabugwu P,Spain,Female,37
CS1435,Young B,France,Male,29
CS1436,Kerr H,Germany,Female,32
CS1437,Tien D,France,Male,33
CS1438,Marrero U,Spain,Female,39
CS1439,White A,Germany,Female,39
CS1440,Pisano P,Germany,Female,40
CS1441,Brown P,France,Male,31
CS1442,Freeman A,Spain,Female,47
CS1443,Russell K,France,Male,22
CS1444,Seleznyov C,France,Female,25
CS1445,Yusupova K,France,Female,43
CS1446,Foley Y,Germany,Female,34
CS1447,Shih C,Germany,Male,59
CS1448,Ikedinachukwu H,Germany,Female,32
CS1449,Power A,France,Male,39
CS1450,Amos T,Spain,Male,32
CS1451,Reed L,Spain,Male,39
CS1452,Simmons L,Spain,Female,32
CS1453,Ricci P,Spain,Male,25
CS1454,Yen C,France,Female,45
CS1455,Campbell M,France,Male,30
CS1456,West C,Spain,Female,57
CS1457,Robinson G,Spain,Male,34
CS1458,Bianchi F,France,Male,41
CS1459,Chen F,France,Male,58
CS1460,Madukaego A,Spain,Male,28
CS1461,Ibrahimova H,Germany,Female,45
CS1462,Nolan T,France,Female,50
CS1463,Scott S,Germany,Female,29
CS1464,Blair F,France,Male,68
CS1465,Monaldo O,Spain,Female,33
CS1466,Sutherland L,Germany,Female,42
CS1467,Cole P,Germany,Female,35
CS1468,Briggs O,Germany,Male,34
CS1469,Gregory T,France,Female,29
CS1470,Bianchi N,Spain,Male,42
CS1471,Angelo W,Germany,Female,75
CS1472,Gardiner D,Germany,Male,31
CS1473,Kerr P,Germany,Male,31
CS1474,Ko H,Germany,Male,35
CS1475,Distefano C,France,Female,39
CS1476,Farrell C,Germany,Male,45
CS1477,Milano R,Spain,Male,35
CS1478,Ting S,Spain,Female,30
CS1479,Boyd K,Spain,Female,39
CS1480,Onyemaechi O,France,Female,50
CS1481,Black O,France,Male,36
CS1482,Oliver L,Germany,Female,30
CS1483,Greco C,Germany,Male,28
CS1484,Whitehead M,Germany,Male,44
CS1485,Ikemefuna C,France,Female,66
CS1486,Morrison Y,Spain,Male,46
CS1487,Onyeoruru B,Spain,Male,62
CS1488,Cunningham T,Spain,Female,45
CS1489,Demidov H,France,Female,21
CS1490,Celis C,Germany,Female,29
CS1491,Cheng L,Germany,Male,38
CS1492,Knight P,Spain,Male,46
CS1493,Morin H,Spain,Male,38
CS1494,Mills H,Spain,Female,24
CS1495,Outhwaite C,Germany,Female,37
CS1496,Tung M,France,Male,33
CS1497,Pai T,Germany,Male,32
CS1498,Carpenter H,France,Female,39
CS1499,Fennell M,France,Female,66
CS1500,Fontaine L,France,Male,52
CS1501,Pratt F,Germany,Female,
CS1502,Mitchell U,Spain,Male,52
CS1503,Franklin C,Spain,Male,36
CS1504,K'ung S,France,Male,23
CS1505,Ko B,France,Male,36
CS1506,McKenzie B,Spain,Female,49
CS1507,Pino H,Spain,Female,37
CS1508,Fisk S,Germany,Male,37
CS1509,Chiang R,Germany,Female,41
CS1510,Moseley F,Spain,Male,23
CS1511,Hsiung L,France,Male,38
CS1512,Heath V,Spain,Female,31
CS1513,Dellucci K,Germany,Female,41
CS1514,Li M,Spain,Male,35
CS1515,De Salis O,Spain,Male,26
CS1516,T'ang E,Germany,Female,61
CS1517,Richardson K,France,Female,39
CS1518,Fitch Y,France,Female,46
CS1519,Stevenson O,France,Female,28
CS1520,Estes S,Germany,Female,60
CS1521,Lattimore K,France,Female,38
CS1522,Chung K,Germany,Male,40
CS1523,Utz G,France,Female,35
CS1524,Wei W,France,Male,
CS1525,Nwachinemelu M,France,Male,26
CS1526,Kuznetsova M,Germany,Male,39
CS1527,Pisani T,France,Male,45
CS1528,Manna W,Germany,Female,40
CS1529,Collier A,Germany,Male,40
CS1530,Ricci K,Germany,Male,57
CS1531,Carr B,Germany,Male,41
CS1532,Hs? B,Germany,Female,33
CS1533,Findlay H,Germany,Female,37
CS1534,Hughes F,France,Male,33
CS1535,Chukwuemeka S,France,Female,51
CS1536,Genovese C,Germany,Female,30
CS1537,Swift C,France,Male,35
CS1538,Ugoji H,France,Female,38
CS1539,Parkinson O,Germany,Female,42
CS1540,Ross D,France,Female,35
CS1541,Oleary D,France,Female,31
CS1542,Turnbull Z,France,Female,34
CS1543,Uspensky E,France,Male,46
CS1544,Cook H,Spain,Male,47
CS1545,Newbold D,France,Female,26
CS1546,Uchechukwu O,France,Male,37
CS1547,Ch'en A,France,Male,40
CS1548,He A,France,Female,38
CS1549,Hilton K,Spain,Female,47
CS1550,Sal P,Germany,Female,38
CS1551,Eluemuno G,France,Male,40
CS1552,Titus L,Spain,Male,31
CS1553,Yin K,Spain,Female,44
CS1554,Lettiere W,France,Female,39
CS1555,Templeman H,France,Male,36
CS1556,Chibuzo C,France,Male,33
CS1557,Sun F,France,Male,38
CS1558,Evans C,Germany,Male,43
CS1559,Ogbonnaya P,Spain,Male,37
CS1560,Enyinnaya H,Germany,Male,29
CS1561,Olisanugo A,France,Male,39
CS1562,Brookes H,Spain,Female,25
CS1563,Padovano Y,France,Female,32
CS1564,Fisk B,Spain,Male,26
CS1565,Hare M,France,Male,33
CS1566,Muir B,Spain,Female,32
CS1567,Fanucci R,Germany,Female,
CS1568,Elewechi B,France,Male,35
CS1569,Johnston R,France,Male,35
CS1570,Pisano A,Spain,Male,27
CS1571,Ankudinov S,France,Male,37
CS1572,Nwokike C,France,Male,26
CS1573,Smith W,France,Male,28
CS1574,Atkins G,France,Female,33
CS1575,Burns L,Germany,Male,46
CS1576,Obiuto Q,Germany,Female,31
CS1577,Pirozzi N,France,Female,40
CS1578,George S,France,Male,38
CS1579,Lewis P,France,Male,29
CS1580,Moran M,Spain,Male,34
CS1581,Dalrymple M,France,Female,23
CS1582,Carslaw S,France,Male,37
CS1583,Kirby K,Germany,Male,37
CS1584,Houghton R,Spain,Male,61
CS1585,Martin E,France,Female,35
CS1586,Tan K,France,Male,37
CS1587,Hsia W,France,Male,39
CS1588,Westerberg T,France,Male,30
CS1589,Hale H,Germany,Female,55
CS1590,Kryukova M,Spain,Male,29
CS1591,Sopuluchukwu C,France,Female,41
CS1592,Barry Y,France,Female,38
CS1593,Selezneva C,France,Female,47
CS1594,Chizuoke J,France,Female,38
CS1595,Lueck N,Germany,Male,36
CS1596,Udinese T,France,Female,32
CS1597,Udobata P,France,Male,40
CS1598,Freeman K,Germany,Male,26
CS1599,Outlaw R,France,Female,58
CS1600,Obiuto C,Spain,Male,32
CS1601,Lo C,France,Male,54
CS1602,Okechukwu N,France,Male,60
CS1603,King H,Spain,Male,44
CS1604,Forbes G,Spain,Female,41
CS1605,Macleod R,France,Male,31
CS1606,Gibbs B,Germany,Male,30
CS1607,Isayev M,Germany,Female,40
CS1608,Pisano D,France,Male,22
CS1609,Belstead G,Spain,Female,37
CS1610,Vassiliev T,Germany,Female,31
CS1611,Schneider C,Germany,Female,38
CS1612,Mazzanti A,Spain,Male,34
CS1613,Knipe D,France,Male,34
CS1614,Macartney Z,France,Female,51
CS1615,Madukwe G,Spain,Male,38
CS1616,Watts L,France,Female,56
CS1617,Humphreys B,Germany,Male,37
CS1618,Wu W,France,Male,48
CS1619,Chin S,France,Male,58
CS1620,Chesnokova M,France,Female,35
CS1621,Kung H,France,Male,56
CS1622,Lu T,Spain,Male,37
CS1623,Nkemakolam Y,Germany,Male,32
CS1624,Walton A,France,Male,48
CS1625,Brookes T,France,Female,31
CS1626,Baldwin N,France,Male,43
CS1627,Mai H,France,Male,26
CS1628,Shih G,Germany,Female,48
CS1629,He W,France,Male,30
CS1630,Fiorentini M,Spain,Female,57
CS1631,Lucciano L,Spain,Female,26
CS1632,Ferreira O,France,Male,32
CS1633,Ukaegbunam C,Spain,Male,35
CS1634,De Luca I,France,Female,40
CS1635,Milne N,France,Male,59
CS1636,Davide N,Germany,Male,35
CS1637,Kodilinyechukwu M,Spain,Male,34
CS1638,Little B,Germany,Female,62
CS1639,Burns W,Germany,Female,28
CS1640,Paterson A,France,Male,37
CS1641,Han H,France,Male,26
CS1642,Kryukova B,France,Female,42
CS1643,Ijendu H,Spain,Male,51
CS1644,Reichard P,France,Female,49
CS1645,Day B,Spain,Female,44
CS1646,Price O,France,Male,38
CS1647,Bruce C,Germany,Female,30
CS1648,Sumrall C,France,Male,49
CS1649,Lu C,France,Male,24
CS1650,Lazarev B,Germany,Female,36
CS1651,Miller I,Germany,Male,47
CS1652,Wentworth-Shields D,Spain,Female,25
CS1653,Ritchie M,France,Male,34
CS1654,Mackenzie M,Germany,Male,33
CS1655,Power T,Spain,Female,51
CS1656,Pendergrass E,Germany,Male,40
CS1657,Evans G,Germany,Male,41
CS1658,Hsia D,Spain,Male,53
CS1659,Billson B,Spain,Female,70
CS1660,Teng M,Germany,Female,29
CS1661,Moretti P,Spain,Male,61
CS1662,Jordan P,Spain,Male,36
CS1663,Ts'ao D,France,Female,46
CS1664,Osborne F,Spain,Female,38
CS1665,Carslaw W,France,Male,36
CS1666,Ch'ang B,Spain,Female,54
CS1667,Hung V,Spain,Female,63
CS1668,Gordon M,Germany,Male,31
CS1669,Obialo B,France,Male,31
CS1670,Gray O,France,Male,44
CS1671,Lin I,France,Male,45
CS1672,Hopkins L,France,Male,35
CS1673,Dobson C,Spain,Female,49
CS1674,McKay V,Spain,Male,40
CS1675,Revell A,France,Female,27
CS1676,Rickards G,Spain,Female,32
CS1677,Begum E,France,Male,30
CS1678,Onyinyechukwuka G,France,Female,41
CS1679,Zuyev O,France,Male,39
CS1680,Nwankwo C,Spain,Male,36
CS1681,Ma O,Spain,Female,33
CS1682,Okwuadigbo L,Spain,Female,57
CS1683,Mitchell B,Germany,Female,30
CS1684,Chan W,Germany,Female,51
CS1685,Buchi C,France,Female,51
CS1686,Greco T,Spain,Male,53
CS1687,Lombardi S,France,Male,44
CS1688,Uchenna T,France,Male,36
CS1689,Coffman H,Spain,Female,47
CS1690,Alexandrova K,Germany,Female,38
CS1691,Fallaci E,France,Male,38
CS1692,Hudson O,France,Female,34
CS1693,Mai D,Spain,Male,32
CS1694,Stout Y,Spain,Female,26
CS1695,Burke B,Germany,Female,41
CS1696,Chadwick G,Spain,Male,43
CS1697,Lawrence F,Germany,Male,39
CS1698,Bellucci G,Germany,Female,57
CS1699,Harper C,Germany,Female,34
CS1700,Boyle O,France,Female,43
CS1701,Duncan F,Spain,Female,26
CS1702,Moss M,France,Female,72
CS1703,Avdeyeva J,France,Male,30
CS1704,Crawford G,France,Male,37
CS1705,Lynton D,France,Male,29
CS1706,Duncan C,France,Male,53
CS1707,Gether M,France,Male,28
CS1708,Davidson P,France,Male,35
CS1709,Larionova N,Germany,Female,51
CS1710,Loggia S,France,Male,30
CS1711,Steinhoff A,France,Female,27
CS1712,Guerra A,France,Female,64
CS1713,Pai R,Spain,Male,38
CS1714,Craig Y,Germany,Male,26
CS1715,Lazareva K,Spain,Female,31
CS1716,Ch'iu D,Spain,Male,39
CS1717,Alderete G,Germany,Female,62
CS1718,Kung J,Spain,Male,42
CS1719,Palermo M,Spain,Female,37
CS1720,Ts'ai M,France,Male,35
CS1721,Rahman K,Spain,Female,40
CS1722,McMillan M,Germany,Female,53
CS1723,Pickering K,Germany,Male,36
CS1724,Mirams A,Spain,Female,48
CS1725,Tsao A,Spain,Male,35
CS1726,Douglas U,France,Male,29
CS1727,Jideofor B,France,Male,49
CS1728,Bell R,France,Male,47
CS1729,Mairinger O,Spain,Female,28
CS1730,McIntyre W,France,Female,61
CS1731,Pagnotto R,Germany,Female,54
CS1732,K'ung C,Spain,Female,33
CS1733,Feng W,Germany,Male,44
CS1734,Donaldson T,France,Male,31
CS1735,Chambers P,Spain,Female,51
CS1736,Marcelo S,Spain,Female,33
CS1737,Ejimofor O,France,Male,48
CS1738,Dale S,France,Female,43
CS1739,Pokrovsky B,France,Female,36
CS1740,Stonebraker C,Spain,Male,48
CS1741,Liang C,France,Female,29
CS1742,Anderson G,France,Female,27
CS1743,Christian I,Germany,Female,39
CS1744,Mao E,France,Female,39
CS1745,Campbell B,France,Female,34
CS1746,Ginikanwa C,France,Female,30
CS1747,Toscani W,France,Male,38
CS1748,Nnachetam A,France,Female,36
CS1749,Sagese F,France,Male,38
CS1750,Fleming P,France,Female,49
CS1751,Grubb B,France,Male,52
CS1752,Napolitani S,France,Male,42
CS1753,Anenechi L,Germany,Male,48
CS1754,Chandler L,Spain,Male,31
CS1755,Howells J,Germany,Male,25
CS1756,Akeroyd R,Spain,Male,25
CS1757,Wallace P,Germany,Female,54
CS1758,Uwaezuoke H,France,Male,64
CS1759,Loyau O,France,Female,30
CS1760,Small H,Germany,Female,41
CS1761,Bledsoe C,Spain,Male,57
CS1762,Kao B,France,Male,31
CS1763,Wickens C,France,Male,46
CS1764,Wertheim S,France,Female,41
CS1765,He F,France,Male,33
CS1766,Jarvis H,France,Female,31
CS1767,P'an F,France,Male,29
CS1768,Repina B,Spain,Male,46
CS1769,Pugliesi R,France,Female,42
CS1770,Blakey C,Germany,Female,48
CS1771,Nucci H,France,Male,42
CS1772,Higinbotham W,France,Male,26
CS1773,Achebe R,Spain,Female,32
CS1774,Russo O,Spain,Male,35
CS1775,Trevisani C,France,Female,39
CS1776,Dobie M,Spain,Female,38
CS1777,Maccallum S,Germany,Male,45
CS1778,Watkins C,Spain,Female,70
CS1779,Mitchel E,Spain,Female,38
CS1780,Ferdinand A,France,Male,55
CS1781,Otitodilinna M,Spain,Male,58
CS1782,Mamelu P,Germany,Female,41
CS1783,Beneventi S,Germany,Female,40
CS1784,Perrodin S,France,Male,24
CS1785,Chinagorom F,Spain,Male,42
CS1786,Napolitano G,France,Female,31
CS1787,Edgar C,Germany,Female,45
CS1788,Walker A,France,Female,51
CS1789,Steele N,France,Female,36
CS1790,Elkins K,Germany,Male,27
CS1791,Hao L,France,Male,43
CS1792,Toscano S,Germany,Male,36
CS1793,Savage O,France,Male,34
CS1794,Okwuadigbo D,France,Female,45
CS1795,Mordvinova S,France,Male,57
CS1796,Welch S,Spain,Male,62
CS1797,Kent H,Germany,Female,57
CS1798,Campbell P,Spain,Male,36
CS1799,Cooper V,Germany,Male,33
CS1800,Mazzi D,France,Female,32
CS1801,Fisher W,France,Male,30
CS1802,Summers R,Spain,Female,49
CS1803,Brady W,Spain,Male,36
CS1804,Nicholls W,Germany,Male,36
CS1805,Yuan P,Germany,Male,40
CS1806,Robinson H,Germany,Male,35
CS1807,Golubov C,France,Male,42
CS1808,Chen R,France,Female,35
CS1809,Oldham F,France,Female,34
CS1810,Kambinachi K,France,Male,48
CS1811,Fleming M,Germany,Male,35
CS1812,Cunningham B,Spain,Male,38
CS1813,Obinna K,France,Female,
CS1814,Chinwemma M,Spain,Female,25
CS1815,Carpenter O,France,Male,34
CS1816,Yin F,Germany,Female,37
CS1817,Olsen D,Spain,Female,42
CS1818,Ts'ai T,France,Male,45
CS1819,Jen R,France,Female,43
CS1820,Preston L,Spain,Female,56
CS1821,Ozioma S,Spain,Female,42
